Title,Movie Link,Year,Duration,MPA,Rating,Votes
156. 3 Idiots,https://www.imdb.com/title/tt1187043/?ref_=sr_t_156,2009,2h 50m,PG-13,8.4,450K
157. The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/?ref_=sr_t_157,2009,2h 9m,R,8.2,229K
158. Post Grad,https://www.imdb.com/title/tt1142433/?ref_=sr_t_158,2009,1h 28m,PG-13,5.3,15K
159. Coco Before Chanel,https://www.imdb.com/title/tt1035736/?ref_=sr_t_159,2009,1h 45m,PG-13,6.6,43K
160. Whatever Works,https://www.imdb.com/title/tt1178663/?ref_=sr_t_160,2009,1h 33m,PG-13,7.1,78K
161. Bandslam,https://www.imdb.com/title/tt0976222/?ref_=sr_t_161,2009,1h 51m,PG,6.3,15K
162. The Girl Who Kicked the Hornet's Nest,https://www.imdb.com/title/tt1343097/?ref_=sr_t_162,2009,2h 27m,R,7.3,75K
163. Broken Embraces,https://www.imdb.com/title/tt0913425/?ref_=sr_t_163,2009,2h 7m,R,7.2,43K
164. Moon,https://www.imdb.com/title/tt1182345/?ref_=sr_t_164,2009,1h 37m,R,7.8,383K
165. I Am Love,https://www.imdb.com/title/tt1226236/?ref_=sr_t_165,2009,2h,R,7.0,25K
166. Mao's Last Dancer,https://www.imdb.com/title/tt1071812/?ref_=sr_t_166,2009,1h 57m,PG,7.3,8.4K
167. Miss March,https://www.imdb.com/title/tt1151922/?ref_=sr_t_167,2009,1h 30m,R,5.0,22K
168. Bright Star,https://www.imdb.com/title/tt0810784/?ref_=sr_t_168,2009,1h 59m,PG,6.9,29K
169. Solitary Man,https://www.imdb.com/title/tt1294213/?ref_=sr_t_169,2009,1h 30m,R,6.3,17K
170. Good Hair,https://www.imdb.com/title/tt1213585/?ref_=sr_t_170,2009,1h 36m,PG-13,6.9,6.3K
171. The September Issue,https://www.imdb.com/title/tt1331025/?ref_=sr_t_171,2009,1h 30m,PG-13,7.0,8.1K
172. To Save a Life,https://www.imdb.com/title/tt1270286/?ref_=sr_t_172,2009,2h,PG-13,6.8,5.9K
173. Chloe,https://www.imdb.com/title/tt1352824/?ref_=sr_t_173,2009,1h 36m,R,6.3,79K
174. Chéri,https://www.imdb.com/title/tt1179258/?ref_=sr_t_174,2009,1h 26m,R,6.1,12K
175. Sin Nombre,https://www.imdb.com/title/tt1127715/?ref_=sr_t_175,2009,1h 36m,R,7.5,34K
176. My One and Only,https://www.imdb.com/title/tt1185431/?ref_=sr_t_176,2009,1h 48m,PG-13,6.5,9.6K
177. Love Aaj Kal,https://www.imdb.com/title/tt1275863/?ref_=sr_t_177,2009,2h 8m,Not Rated,6.8,17K
178. In the Loop,https://www.imdb.com/title/tt1226774/?ref_=sr_t_178,2009,1h 46m,Not Rated,7.4,62K
179. Adam,https://www.imdb.com/title/tt1185836/?ref_=sr_t_179,2009,1h 39m,PG-13,7.1,36K
180. The White Ribbon,https://www.imdb.com/title/tt1149362/?ref_=sr_t_180,2009,2h 24m,R,7.8,79K
181. A Prophet,https://www.imdb.com/title/tt1235166/?ref_=sr_t_181,2009,2h 35m,R,7.8,104K
182. I Love You Phillip Morris,https://www.imdb.com/title/tt1045772/?ref_=sr_t_182,2009,1h 38m,R,6.6,101K
183. The Mighty Macs,https://www.imdb.com/title/tt1034324/?ref_=sr_t_183,2009,1h 39m,G,6.6,1.9K
184. Harry Brown,https://www.imdb.com/title/tt1289406/?ref_=sr_t_184,2009,1h 43m,R,7.2,92K
185. Bad Lieutenant: Port of Call New Orleans,https://www.imdb.com/title/tt1095217/?ref_=sr_t_185,2009,2h 2m,R,6.6,82K
186. Coco Chanel & Igor Stravinsky,https://www.imdb.com/title/tt1023441/?ref_=sr_t_186,2009,1h 59m,R,6.3,7.1K
187. Cairo Time,https://www.imdb.com/title/tt0896529/?ref_=sr_t_187,2009,1h 30m,PG,6.6,6.9K
188. The Double Hour,https://www.imdb.com/title/tt1379222/?ref_=sr_t_188,2009,1h 35m,Not Rated,6.6,4.3K
189. The Joneses,https://www.imdb.com/title/tt1285309/?ref_=sr_t_189,2009,1h 36m,R,6.4,42K
190. Nowhere Boy,https://www.imdb.com/title/tt1266029/?ref_=sr_t_190,2009,1h 38m,R,7.1,40K
191. Kambakkht Ishq,https://www.imdb.com/title/tt1144804/?ref_=sr_t_191,2009,2h 22m,Not Rated,3.8,7.7K
192. I Hope They Serve Beer in Hell,https://www.imdb.com/title/tt1220628/?ref_=sr_t_192,2009,1h 45m,R,5.2,8.8K
193. X Games 3D: The Movie,https://www.imdb.com/title/tt1440770/?ref_=sr_t_193,2009,1h 32m,PG,6.4,321
194. Kaminey,https://www.imdb.com/title/tt1274295/?ref_=sr_t_194,2009,2h 10m,,7.4,18K
195. Paper Heart,https://www.imdb.com/title/tt1331064/?ref_=sr_t_195,2009,1h 28m,PG-13,6.0,8.7K
196. Micmacs,https://www.imdb.com/title/tt1149361/?ref_=sr_t_196,2009,1h 45m,R,7.1,32K
"197. Yoo-Hoo, Mrs. Goldberg",https://www.imdb.com/title/tt1334479/?ref_=sr_t_197,2009,1h 32m,Unrated,7.4,245
198. Mother and Child,https://www.imdb.com/title/tt1121977/?ref_=sr_t_198,2009,2h 5m,R,7.2,13K
199. The Messenger,https://www.imdb.com/title/tt0790712/?ref_=sr_t_199,2009,1h 53m,R,7.1,37K
200. La Mission,https://www.imdb.com/title/tt1200272/?ref_=sr_t_200,2009,1h 57m,R,7.0,2K
201. The Perfect Game,https://www.imdb.com/title/tt0473102/?ref_=sr_t_201,2009,1h 58m,PG,6.9,4.3K
202. New York,https://www.imdb.com/title/tt1328634/?ref_=sr_t_202,2009,2h 33m,Not Rated,6.8,12K
203. De Dana Dan,https://www.imdb.com/title/tt1255951/?ref_=sr_t_203,2009,2h 42m,Not Rated,5.9,11K
204. CC2C,https://www.imdb.com/title/tt1091229/?ref_=sr_t_204,2009,2h 34m,PG-13,4.3,9.9K
205. The Salvation Poem,https://www.imdb.com/title/tt1608566/?ref_=sr_t_205,2009,1h 18m,PG-13,4.8,110
206. Cold Souls,https://www.imdb.com/title/tt1127877/?ref_=sr_t_206,2009,1h 41m,PG-13,6.4,10K
207. Princess Kaiulani,https://www.imdb.com/title/tt1185344/?ref_=sr_t_207,2009,2h 10m,PG,6.1,1.9K
208. Delhi-6,https://www.imdb.com/title/tt1043451/?ref_=sr_t_208,2009,2h 21m,Not Rated,6.2,8.6K
209. The Cove,https://www.imdb.com/title/tt1313104/?ref_=sr_t_209,2009,1h 32m,PG-13,8.4,52K
210. The Boys Are Back,https://www.imdb.com/title/tt0926380/?ref_=sr_t_210,2009,1h 44m,PG-13,6.8,11K
211. Billu,https://www.imdb.com/title/tt1230448/?ref_=sr_t_211,2009,2h 17m,Not Rated,6.4,14K
212. Middle Men,https://www.imdb.com/title/tt1251757/?ref_=sr_t_212,2009,1h 45m,R,6.8,39K
213. Kurbaan,https://www.imdb.com/title/tt1185442/?ref_=sr_t_213,2009,2h 41m,,5.7,5.6K
214. The Cross,https://www.imdb.com/title/tt1385869/?ref_=sr_t_214,2009,1h 30m,PG,5.3,180
215. Wake Up Sid,https://www.imdb.com/title/tt1324059/?ref_=sr_t_215,2009,2h 18m,Not Rated,7.6,35K
216. The Hedgehog,https://www.imdb.com/title/tt1442519/?ref_=sr_t_216,2009,1h 40m,Unrated,7.3,9.9K
217. The Girlfriend Experience,https://www.imdb.com/title/tt1103982/?ref_=sr_t_217,2009,1h 17m,R,5.5,17K
218. Fanboys,https://www.imdb.com/title/tt0489049/?ref_=sr_t_218,2009,1h 30m,PG-13,6.5,62K
219. The Secret of Kells,https://www.imdb.com/title/tt0485601/?ref_=sr_t_219,2009,1h 15m,Not Rated,7.5,39K
220. Echelon Conspiracy,https://www.imdb.com/title/tt1124039/?ref_=sr_t_220,2009,1h 45m,PG-13,5.7,20K
221. Play the Game,https://www.imdb.com/title/tt1124388/?ref_=sr_t_221,2009,1h 45m,PG-13,6.3,2.9K
222. The Concert,https://www.imdb.com/title/tt1320082/?ref_=sr_t_222,2009,1h 59m,PG-13,7.5,19K
223. The Oscar Nominated Short Films 2009: Live Action,https://www.imdb.com/title/tt2506394/?ref_=sr_t_223,2009,1h 34m,,7.6,11
224. Dil Bole Hadippa,https://www.imdb.com/title/tt1202540/?ref_=sr_t_224,2009,2h 28m,Not Rated,4.7,4.8K
225. Amreeka,https://www.imdb.com/title/tt1190858/?ref_=sr_t_225,2009,1h 36m,PG-13,7.0,3.7K
226. Ajami,https://www.imdb.com/title/tt1077262/?ref_=sr_t_226,2009,2h 4m,Not Rated,7.3,6.6K
227. Agora,https://www.imdb.com/title/tt1186830/?ref_=sr_t_227,2009,2h 7m,R,7.1,74K
228. Vincere,https://www.imdb.com/title/tt1156173/?ref_=sr_t_228,2009,2h 8m,Unrated,6.8,6K
229. The Maid,https://www.imdb.com/title/tt1187044/?ref_=sr_t_229,2009,1h 35m,Not Rated,7.3,6.6K
230. La danse,https://www.imdb.com/title/tt1500496/?ref_=sr_t_230,2009,2h 39m,,7.2,698
231. Mother,https://www.imdb.com/title/tt1216496/?ref_=sr_t_231,2009,2h 9m,R,7.7,75K
232. Ondine,https://www.imdb.com/title/tt1235796/?ref_=sr_t_232,2009,1h 51m,PG-13,6.8,23K
233. From Mexico with Love,https://www.imdb.com/title/tt0457355/?ref_=sr_t_233,2009,1h 36m,PG-13,5.2,594
234. The Art of the Steal,https://www.imdb.com/title/tt1326733/?ref_=sr_t_234,2009,1h 41m,Unrated,7.5,2.5K
235. Mademoiselle Chambon,https://www.imdb.com/title/tt1285246/?ref_=sr_t_235,2009,1h 41m,Not Rated,6.9,3.2K
236. Tetro,https://www.imdb.com/title/tt0964185/?ref_=sr_t_236,2009,2h 7m,R,6.8,14K
237. The City of Your Final Destination,https://www.imdb.com/title/tt0896923/?ref_=sr_t_237,2009,1h 57m,PG-13,6.3,3.3K
238. Queen to Play,https://www.imdb.com/title/tt1082009/?ref_=sr_t_238,2009,1h 41m,Unrated,6.9,3.3K
239. About Elly,https://www.imdb.com/title/tt1360860/?ref_=sr_t_239,2009,1h 59m,TV-PG,7.9,58K
240. Crossing Over,https://www.imdb.com/title/tt0924129/?ref_=sr_t_240,2009,1h 53m,R,6.7,25K
241. The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,https://www.imdb.com/title/tt1319726/?ref_=sr_t_241,2009,1h 32m,Not Rated,7.7,2.4K
242. The Damned United,https://www.imdb.com/title/tt1226271/?ref_=sr_t_242,2009,1h 38m,R,7.5,47K
243. Vision - Aus dem Leben der Hildegard von Bingen,https://www.imdb.com/title/tt0995850/?ref_=sr_t_243,2009,1h 50m,Unrated,6.5,1.3K
244. The Limits of Control,https://www.imdb.com/title/tt1135092/?ref_=sr_t_244,2009,1h 56m,R,6.2,21K
245. Humpday,https://www.imdb.com/title/tt1334537/?ref_=sr_t_245,2009,1h 34m,R,6.0,6.5K
246. Antichrist,https://www.imdb.com/title/tt0870984/?ref_=sr_t_246,2009,1h 48m,Not Rated,6.5,140K
247. Wild Grass,https://www.imdb.com/title/tt1156143/?ref_=sr_t_247,2009,1h 44m,PG,6.2,4K
248. Transylmania,https://www.imdb.com/title/tt0936471/?ref_=sr_t_248,2009,1h 32m,R,3.8,2.9K
249. Fish Tank,https://www.imdb.com/title/tt1232776/?ref_=sr_t_249,2009,2h 3m,Not Rated,7.3,66K
250. Lebanon,https://www.imdb.com/title/tt1483831/?ref_=sr_t_250,2009,1h 33m,R,6.9,12K
251. Luck by Chance,https://www.imdb.com/title/tt0886539/?ref_=sr_t_251,2009,2h 36m,Not Rated,7.1,11K
252. Like Dandelion Dust,https://www.imdb.com/title/tt0981042/?ref_=sr_t_252,2009,1h 40m,PG-13,7.0,3.2K
253. Chico & Rita,https://www.imdb.com/title/tt1235830/?ref_=sr_t_253,2009,1h 34m,Not Rated,7.2,9.8K
254. Wanted,https://www.imdb.com/title/tt1084972/?ref_=sr_t_254,2009,2h 27m,Not Rated,6.6,27K
255. Creation,https://www.imdb.com/title/tt0974014/?ref_=sr_t_255,2009,1h 48m,PG-13,6.6,15K
256. The Private Lives of Pippa Lee,https://www.imdb.com/title/tt1134629/?ref_=sr_t_256,2009,1h 38m,R,6.3,14K
257. Enter the Void,https://www.imdb.com/title/tt1191111/?ref_=sr_t_257,2009,2h 41m,Not Rated,7.2,90K
258. Kings of Pastry,https://www.imdb.com/title/tt1558972/?ref_=sr_t_258,2009,1h 27m,Not Rated,6.9,1.4K
259. Thirst,https://www.imdb.com/title/tt0762073/?ref_=sr_t_259,2009,2h 14m,R,7.1,53K
260. Today's Special,https://www.imdb.com/title/tt1153053/?ref_=sr_t_260,2009,1h 39m,R,6.6,6.8K
261. White Material,https://www.imdb.com/title/tt1135952/?ref_=sr_t_261,2009,1h 46m,Not Rated,6.9,8.6K
262. London Dreams,https://www.imdb.com/title/tt0486615/?ref_=sr_t_262,2009,2h 26m,,5.4,5K
263. Last Train Home,https://www.imdb.com/title/tt1512201/?ref_=sr_t_263,2009,1h 25m,Not Rated,7.6,3.8K
264. Outrage,https://www.imdb.com/title/tt1049400/?ref_=sr_t_264,2009,1h 30m,R,7.5,1.8K
265. Life During Wartime,https://www.imdb.com/title/tt0808526/?ref_=sr_t_265,2009,1h 38m,R,6.4,8K
266. That Evening Sun,https://www.imdb.com/title/tt1114680/?ref_=sr_t_266,2009,1h 49m,PG-13,7.0,3K
267. Soul Kitchen,https://www.imdb.com/title/tt1244668/?ref_=sr_t_267,2009,1h 36m,,7.2,41K
268. Tera Mera Ki Rishta,https://www.imdb.com/title/tt1587426/?ref_=sr_t_268,2009,2h 46m,Not Rated,6.6,167
269. What's Your Raashee?,https://www.imdb.com/title/tt1242530/?ref_=sr_t_269,2009,3h 15m,Not Rated,4.8,2.9K
270. Blood: The Last Vampire,https://www.imdb.com/title/tt0806027/?ref_=sr_t_270,2009,1h 31m,R,5.3,15K
271. Spread,https://www.imdb.com/title/tt1186370/?ref_=sr_t_271,2009,1h 37m,R,5.8,42K
272. My Dog Tulip,https://www.imdb.com/title/tt0843358/?ref_=sr_t_272,2009,1h 23m,Not Rated,6.9,1.8K
273. When You're Strange,https://www.imdb.com/title/tt1333667/?ref_=sr_t_273,2009,1h 26m,R,7.6,10K
274. Larger Than Life in,https://www.imdb.com/title/tt1546999/?ref_=sr_t_274,2009,1h 28m,PG,8.2,39
275. Black Dynamite,https://www.imdb.com/title/tt1190536/?ref_=sr_t_275,2009,1h 24m,R,7.4,53K
276. Big Fan,https://www.imdb.com/title/tt1228953/?ref_=sr_t_276,2009,1h 28m,R,6.6,10K
277. (Untitled),https://www.imdb.com/title/tt1132193/?ref_=sr_t_277,2009,1h 36m,R,6.2,2.4K
278. Formosa Betrayed,https://www.imdb.com/title/tt1121786/?ref_=sr_t_278,2009,1h 43m,R,6.1,1.5K
279. The Black Waters of Echo's Pond,https://www.imdb.com/title/tt0960066/?ref_=sr_t_279,2009,1h 29m,R,4.4,1.4K
280. World's Greatest Dad,https://www.imdb.com/title/tt1262981/?ref_=sr_t_280,2009,1h 39m,R,6.9,41K
281. Do Knot Disturb,https://www.imdb.com/title/tt1343362/?ref_=sr_t_281,2009,2h 6m,,3.7,1.3K
282. La soga,https://www.imdb.com/title/tt1269696/?ref_=sr_t_282,2009,1h 42m,R,6.2,852
283. The Girl on the Train,https://www.imdb.com/title/tt1183672/?ref_=sr_t_283,2009,1h 37m,Unrated,6.0,1.7K
284. Sweetgrass,https://www.imdb.com/title/tt1517252/?ref_=sr_t_284,2009,1h 41m,Unrated,6.8,1.1K
285. Paa,https://www.imdb.com/title/tt1532957/?ref_=sr_t_285,2009,2h 13m,,7.1,13K
286. South of the Border,https://www.imdb.com/title/tt1337137/?ref_=sr_t_286,2009,1h 18m,Not Rated,7.0,3.1K
287. Me and Mrs. Khanna,https://www.imdb.com/title/tt1174041/?ref_=sr_t_287,2009,1h 49m,Not Rated,3.4,3.4K
288. The Yes Men Fix the World,https://www.imdb.com/title/tt1352852/?ref_=sr_t_288,2009,1h 27m,,7.5,5.2K
"289. A Woman, a Gun and a Noodle Shop",https://www.imdb.com/title/tt1428556/?ref_=sr_t_289,2009,1h 35m,R,5.6,3.5K
290. Shrink,https://www.imdb.com/title/tt1247692/?ref_=sr_t_290,2009,1h 44m,R,6.6,19K
291. The Human Centipede (First Sequence),https://www.imdb.com/title/tt1467304/?ref_=sr_t_291,2009,1h 32m,R,4.4,91K
292. Winnebago Man,https://www.imdb.com/title/tt1396557/?ref_=sr_t_292,2009,1h 25m,Not Rated,7.2,5.1K
293. Partir,https://www.imdb.com/title/tt1315962/?ref_=sr_t_293,2009,1h 25m,Unrated,6.3,4.6K
294. Passport to Love,https://www.imdb.com/title/tt1260565/?ref_=sr_t_294,2009,2h,PG-13,6.5,177
295. Crude,https://www.imdb.com/title/tt1326204/?ref_=sr_t_295,2009,1h 45m,Unrated,7.5,877
296. Genius Within: The Inner Life of Glenn Gould,https://www.imdb.com/title/tt1503774/?ref_=sr_t_296,2009,1h 46m,Not Rated,7.4,465
297. The Disappearance of Alice Creed,https://www.imdb.com/title/tt1379177/?ref_=sr_t_297,2009,1h 40m,R,6.7,28K
298. A Town Called Panic,https://www.imdb.com/title/tt1433540/?ref_=sr_t_298,2009,1h 15m,TV-PG,7.4,8.9K
299. The Horse Boy,https://www.imdb.com/title/tt1333668/?ref_=sr_t_299,2009,1h 33m,Unrated,7.2,728
300. Brothers at War,https://www.imdb.com/title/tt1239427/?ref_=sr_t_300,2009,1h 50m,R,6.5,598
301. Luck,https://www.imdb.com/title/tt1242782/?ref_=sr_t_301,2009,2h 21m,,4.9,3.2K
302. Father of My Children,https://www.imdb.com/title/tt1356928/?ref_=sr_t_302,2009,1h 50m,Not Rated,6.8,2.9K
303. Evangelion: 2.0 You Can (Not) Advance,https://www.imdb.com/title/tt0860906/?ref_=sr_t_303,2009,1h 52m,TV-14,7.9,26K
304. The Eclipse,https://www.imdb.com/title/tt1346961/?ref_=sr_t_304,2009,1h 28m,R,6.0,3.2K
305. Street Dreams,https://www.imdb.com/title/tt0838241/?ref_=sr_t_305,2009,1h 28m,R,6.1,1.4K
306. City of Life and Death,https://www.imdb.com/title/tt1124052/?ref_=sr_t_306,2009,2h 13m,R,7.7,12K
307. All the Best: Fun Begins,https://www.imdb.com/title/tt1433905/?ref_=sr_t_307,2009,2h 24m,,6.2,7.3K
308. See What I'm Saying: The Deaf Entertainers Documentary,https://www.imdb.com/title/tt1125387/?ref_=sr_t_308,2009,1h 31m,PG-13,7.0,136
309. The Greatest,https://www.imdb.com/title/tt1226232/?ref_=sr_t_309,2009,1h 39m,R,6.6,9.6K
310. Gentlemen Broncos,https://www.imdb.com/title/tt1161418/?ref_=sr_t_310,2009,1h 30m,PG-13,6.2,13K
311. Bran Nue Dae,https://www.imdb.com/title/tt1148165/?ref_=sr_t_311,2009,1h 25m,PG-13,6.2,2K
312. Dogtooth,https://www.imdb.com/title/tt1379182/?ref_=sr_t_312,2009,1h 37m,Not Rated,7.1,115K
313. Life Partner,https://www.imdb.com/title/tt1229366/?ref_=sr_t_313,2009,2h 18m,Not Rated,5.3,1.4K
314. Best Worst Movie,https://www.imdb.com/title/tt1144539/?ref_=sr_t_314,2009,1h 33m,Not Rated,7.2,8.6K
315. Undertow,https://www.imdb.com/title/tt1368491/?ref_=sr_t_315,2009,1h 37m,Not Rated,7.7,7.3K
316. After.Life,https://www.imdb.com/title/tt0838247/?ref_=sr_t_316,2009,1h 44m,R,5.9,42K
317. Inspector Bellamy,https://www.imdb.com/title/tt1188983/?ref_=sr_t_317,2009,1h 50m,Not Rated,5.9,2.3K
318. The Way We Get By,https://www.imdb.com/title/tt1326900/?ref_=sr_t_318,2009,1h 24m,Unrated,7.4,310
319. Alien Trespass,https://www.imdb.com/title/tt1122836/?ref_=sr_t_319,2009,1h 30m,PG,5.8,4.4K
320. Carriers,https://www.imdb.com/title/tt0806203/?ref_=sr_t_320,2009,1h 24m,PG-13,6.0,50K
321. Saint John of Las Vegas,https://www.imdb.com/title/tt1276105/?ref_=sr_t_321,2009,1h 25m,R,5.6,3K
322. Afghan Star,https://www.imdb.com/title/tt1334510/?ref_=sr_t_322,2009,1h 50m,Unrated,7.2,1K
323. Everyone Else,https://www.imdb.com/title/tt1204773/?ref_=sr_t_323,2009,1h 59m,Unrated,6.6,4.1K
324. Survival of the Dead,https://www.imdb.com/title/tt1134854/?ref_=sr_t_324,2009,1h 30m,R,4.8,23K
325. The House of the Devil,https://www.imdb.com/title/tt1172994/?ref_=sr_t_325,2009,1h 35m,R,6.3,53K
326. The Good Guy,https://www.imdb.com/title/tt1247662/?ref_=sr_t_326,2009,1h 30m,R,5.7,9.9K
327. Shortkut - The Con Is On,https://www.imdb.com/title/tt1229390/?ref_=sr_t_327,2009,2h 22m,,3.5,986
328. No Impact Man: The Documentary,https://www.imdb.com/title/tt1280011/?ref_=sr_t_328,2009,1h 33m,Not Rated,6.6,1.6K
329. Motherhood,https://www.imdb.com/title/tt1220220/?ref_=sr_t_329,2009,1h 30m,PG-13,4.6,4.8K
330. American: The Bill Hicks Story,https://www.imdb.com/title/tt1179947/?ref_=sr_t_330,2009,1h 42m,Not Rated,7.7,5K
331. Oy Vey! My Son Is Gay!!,https://www.imdb.com/title/tt1223082/?ref_=sr_t_331,2009,1h 30m,PG-13,5.2,1K
332. Mystery Team,https://www.imdb.com/title/tt1237838/?ref_=sr_t_332,2009,1h 37m,R,6.6,9.9K
333. OSS 117: Lost in Rio,https://www.imdb.com/title/tt1167660/?ref_=sr_t_333,2009,1h 41m,Not Rated,6.8,17K
334. The Cartel,https://www.imdb.com/title/tt1433001/?ref_=sr_t_334,2009,1h 30m,Not Rated,7.5,212
335. No One Knows About Persian Cats,https://www.imdb.com/title/tt1426378/?ref_=sr_t_335,2009,1h 46m,,7.1,7.6K
336. Summer Wars,https://www.imdb.com/title/tt1474276/?ref_=sr_t_336,2009,1h 54m,PG,7.4,32K
337. Waking Sleeping Beauty,https://www.imdb.com/title/tt1159961/?ref_=sr_t_337,2009,1h 26m,PG,7.5,3.3K
338. Breaking Upwards,https://www.imdb.com/title/tt1247644/?ref_=sr_t_338,2009,1h 28m,TV-MA,6.0,1.5K
339. Enemies of the People,https://www.imdb.com/title/tt1568328/?ref_=sr_t_339,2009,1h 33m,Not Rated,7.7,567
340. Rosencrantz and Guildenstern Are Undead,https://www.imdb.com/title/tt1122775/?ref_=sr_t_340,2009,1h 29m,R,5.0,841
341. Leaves of Grass,https://www.imdb.com/title/tt1151359/?ref_=sr_t_341,2009,1h 45m,R,6.4,28K
342. White on Rice,https://www.imdb.com/title/tt0892904/?ref_=sr_t_342,2009,1h 23m,PG-13,6.1,553
343. Budrus,https://www.imdb.com/title/tt1542411/?ref_=sr_t_343,2009,1h 10m,Unrated,7.8,410
344. John Rabe,https://www.imdb.com/title/tt1124377/?ref_=sr_t_344,2009,2h 14m,,7.2,6.8K
345. Racing Dreams,https://www.imdb.com/title/tt1152840/?ref_=sr_t_345,2009,1h 33m,PG,7.1,461
346. Toys in the Attic,https://www.imdb.com/title/tt1342403/?ref_=sr_t_346,2009,1h 20m,PG,6.4,834
347. The Providence Effect,https://www.imdb.com/title/tt1423455/?ref_=sr_t_347,2009,1h 32m,PG,8.1,25
348. Alamar,https://www.imdb.com/title/tt1502396/?ref_=sr_t_348,2009,1h 13m,G,7.2,2.7K
349. How to Live Forever,https://www.imdb.com/title/tt1172957/?ref_=sr_t_349,2009,1h 32m,Not Rated,6.1,287
350. Looking for Eric,https://www.imdb.com/title/tt1242545/?ref_=sr_t_350,2009,1h 56m,Not Rated,7.1,18K
351. The Boys,https://www.imdb.com/title/tt1015971/?ref_=sr_t_351,2009,1h 41m,PG,7.7,1.4K
352. The Nature of Existence,https://www.imdb.com/title/tt1196672/?ref_=sr_t_352,2009,1h 34m,Not Rated,6.5,513
353. The Harimaya Bridge,https://www.imdb.com/title/tt0902982/?ref_=sr_t_353,2009,2h,TV-G,6.4,222
354. Broken Hill,https://www.imdb.com/title/tt1212909/?ref_=sr_t_354,2009,1h 42m,PG,6.2,768
355. Not Forgotten,https://www.imdb.com/title/tt1127221/?ref_=sr_t_355,2009,1h 36m,R,4.7,2.9K
"356. Police, Adjective",https://www.imdb.com/title/tt1337051/?ref_=sr_t_356,2009,1h 53m,Not Rated,6.9,5.4K
357. Cropsey,https://www.imdb.com/title/tt1277936/?ref_=sr_t_357,2009,1h 24m,Not Rated,6.3,9.6K
358. Breath Made Visible: Anna Halprin,https://www.imdb.com/title/tt1351105/?ref_=sr_t_358,2009,1h 22m,Not Rated,7.2,46
359. American Casino,https://www.imdb.com/title/tt1396209/?ref_=sr_t_359,2009,1h 29m,Unrated,7.7,64
360. Royal Kill,https://www.imdb.com/title/tt0421237/?ref_=sr_t_360,2009,1h 30m,PG-13,2.9,816
361. Pianomania,https://www.imdb.com/title/tt1331115/?ref_=sr_t_361,2009,1h 33m,Unrated,7.4,444
362. Orgasm Inc.,https://www.imdb.com/title/tt1439562/?ref_=sr_t_362,2009,1h 13m,Not Rated,5.9,623
363. Love N' Dancing,https://www.imdb.com/title/tt1028581/?ref_=sr_t_363,2009,1h 31m,PG-13,5.4,2K
364. Alabama Moon,https://www.imdb.com/title/tt1300155/?ref_=sr_t_364,2009,1h 39m,PG,6.4,1.8K
365. Collapse,https://www.imdb.com/title/tt1503769/?ref_=sr_t_365,2009,1h 22m,Unrated,7.7,6.9K
366. Dead Snow,https://www.imdb.com/title/tt1278340/?ref_=sr_t_366,2009,1h 31m,Not Rated,6.3,71K
367. Le code a changé,https://www.imdb.com/title/tt1193088/?ref_=sr_t_367,2009,1h 40m,Not Rated,5.8,2.2K
368. Beeswax,https://www.imdb.com/title/tt1339268/?ref_=sr_t_368,2009,1h 40m,Not Rated,6.1,888
369. William Kunstler: Disturbing the Universe,https://www.imdb.com/title/tt1074194/?ref_=sr_t_369,2009,1h 25m,Not Rated,7.7,345
370. Rapt,https://www.imdb.com/title/tt1430110/?ref_=sr_t_370,2009,2h 5m,Not Rated,6.7,2.3K
371. Defendor,https://www.imdb.com/title/tt1303828/?ref_=sr_t_371,2009,1h 41m,R,6.7,38K
372. Desert Flower,https://www.imdb.com/title/tt1054580/?ref_=sr_t_372,2009,2h,R,7.3,15K
373. Down for Life,https://www.imdb.com/title/tt1056477/?ref_=sr_t_373,2009,1h 32m,R,6.9,377
374. We Live in Public,https://www.imdb.com/title/tt0498329/?ref_=sr_t_374,2009,1h 31m,Unrated,7.1,2K
375. The Slammin' Salmon,https://www.imdb.com/title/tt1135525/?ref_=sr_t_375,2009,1h 39m,R,6.4,16K
376. 44 Inch Chest,https://www.imdb.com/title/tt0914837/?ref_=sr_t_376,2009,1h 35m,R,5.8,7.2K
377. Oh My God,https://www.imdb.com/title/tt1326954/?ref_=sr_t_377,2009,1h 33m,Not Rated,6.1,483
378. The Legend of Pale Male,https://www.imdb.com/title/tt1699158/?ref_=sr_t_378,2009,1h 25m,,9.2,37
379. Army of Crime,https://www.imdb.com/title/tt1258120/?ref_=sr_t_379,2009,2h 19m,Not Rated,6.7,3.6K
380. 13B: Fear Has a New Address,https://www.imdb.com/title/tt1385824/?ref_=sr_t_380,2009,2h 26m,Not Rated,7.4,9.3K
381. District 13: Ultimatum,https://www.imdb.com/title/tt1247640/?ref_=sr_t_381,2009,1h 41m,R,6.5,47K
382. Guy and Madeline on a Park Bench,https://www.imdb.com/title/tt1337193/?ref_=sr_t_382,2009,1h 22m,Not Rated,6.0,2K
383. Hideaway,https://www.imdb.com/title/tt1504429/?ref_=sr_t_383,2009,1h 28m,Unrated,6.4,3K
